,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
590,"The linked article claims that JavaScript is Dysfunctional primarily because of, ""...loose typing and freewheeling coercions, and their wildly inconsistent semantics.""
Many millions of software engineers have proven effectiveness with dynamic languages as far back as 1958 with the introduction of Lisp and through today with Ruby, Python and JavaScript languages.This claim is clearly refuted by fact.
Even Java (one of the stronger Object-oriented static type systems), includes the ability to coerce one type into another.
""Inconsistent semantics"" is too subjective to hold the claim alone.",Irrelevant Conclusion,JavaScript is a dysfunctional language,because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
591,This is duplicate #3 of this entry.,Irrelevant Conclusion,tooling and abstraction has made workflows extremely personal unstandard and preferential,because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
592,This is duplicate #2 of this entry.,Irrelevant Conclusion,tooling and abstraction has made workflows extremely personal unstandard and preferential,because,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
593,"The parent talks about code that is unused, in which case this is irrelevant.",Irrelevant Conclusion,"libraries, framework and tools solve a lot of general programming issues so programmer do not repeat solve them over and over again.This actually simplify the programming.",but,Web programming is getting unnecessarily complicated,https://en.arguman.org/web-programming-is-getting-unnecessarily-complicated
594,"This type of comment is unnecessary to the discussion and does not belong in Arguman.
This needs to be its own argument over ""Human fetuses' lives are less valuable than those of other humans"".",Irrelevant Conclusion,"This does reveal an interesting and somewhat hypocritical quality of modern opinion. In a given situation, we would give a more ""advanced"" or ""developed"" human precedence over a lesser being. In our youth we are taught to treat all people as equals. I'm not taking a stance either way.",however,Abortion should be illegal.,https://en.arguman.org/abortion-should-be-illegal
595,This is completely the wrong direction.,Fallacy Of False Cause,All politicians are theives.,because,Taxation is robbery,https://en.arguman.org/taxation-is-robbery
596,"Haha, funny. Still not a valid premise though, but brownie points for gaining so much support.",Appeal To Belief,Can't argue with that.,because,Tits are better than ass.,https://en.arguman.org/tits-are-better-than-ass
597,makes incorrect assumptions,Prejudicial Language,"PC gamers introduce the most stigma into this industry. Gamers who don't want to involve themselves with Nazi association, social ineptness, misogyny or the entirety of World of Warcraft shouldn't game on PC. Instead they should play cool people games such as Street Fighter and Wii Sports.",but,PC is better than consoles,https://en.arguman.org/pc-is-better-than-consoles
598,pointing out typos is not an attack against the argument but against the source,Argument Against TheMan,"1. Red Herring
2. Faulty logic- one does not lead to the other.
3. ""Free?"" that's your opinion.
4. You're gonna have to explain your opinion.
5. How in the heck are Obama and Hitler similar? Ideology? Genocide? Persecution of Jews? Nationalism? Legacy? Historical context?
6. It's ""Nobel.""
Bye.",but,Hitler should be awarded a posthumous nobel peace prize.,https://en.arguman.org/hitler-should-be-awarded-a-posthumous-nobel-peace-prize
599,Spam,Prejudicial Language,penis,however,Transhumanism is evolution continuing by other means,https://en.arguman.org/transhumanism-is-evolution-continuing-by-other-means
600,"Cybernetic transhumanist is only one vision of transhumanism. Biological transhumanism, instead, is all about curing diseases, which in turn eventually provide amortality (i.e. no death of old age)",Irrelevant Conclusion,"Transhumanism is a death cult worshiping a robotic race that can easily destroy them.
They often sell the idea of digital immortality through the mechanism of programming a robot with your memories.
This isn't impossible but optimistic transhumanists aren't skeptical enough about approaches.",but,Transhumanism is evolution continuing by other means,https://en.arguman.org/transhumanism-is-evolution-continuing-by-other-means
601,"Clickbait headline wording, makes no claim but rather uses words to anger us.",Poisoning The Well,The Terrible Truth About Cannabis,because,Marijuana usage is harmful,https://en.arguman.org/marijuana-usage-is-harmful
602,Not worded as a premise and does not make a claim.,Prejudicial Language,The Terrible Truth About Cannabis,because,Marijuana usage is harmful,https://en.arguman.org/marijuana-usage-is-harmful
603,"An observational or longitudinal study cannot establish causality, rendering this citation a case of posthoc ergo propter hoc.",Fallacy Of False Cause,Marijuana has been proven to cause schizophrenia,because,Marijuana usage is harmful,https://en.arguman.org/marijuana-usage-is-harmful
604,Troll post,Fallacy Of Irrelevant Purpose,FRRRREEEEEEEEDDDOOOOMMMMMMmmmmmmm,but,Donald Trump is a racist,https://en.arguman.org/donald-trump-is-a-racist
605,It's not even a premise!,Wrong Direction,FRRRREEEEEEEEDDDOOOOMMMMMMmmmmmmm,but,Donald Trump is a racist,https://en.arguman.org/donald-trump-is-a-racist
606,Scotland is not part of this discussion.,Fallacy Of Red Herring,He loves Scotland,but,Donald Trump is a racist,https://en.arguman.org/donald-trump-is-a-racist
607,"I can't find one for ""False Premises"", but it does illustrate a red herring.",Fallacy Of Red Herring,Obama got a free noble peace prize.,because,Hitler should be awarded a posthumous nobel peace prize.,https://en.arguman.org/hitler-should-be-awarded-a-posthumous-nobel-peace-prize
608,It also commits red herring and non sequitur.,Fallacy Of Is To Ought,Obama got a free noble peace prize.,because,Hitler should be awarded a posthumous nobel peace prize.,https://en.arguman.org/hitler-should-be-awarded-a-posthumous-nobel-peace-prize
609,The ESA isn't a deciding entity on what is or is not a planet,Appeal To Authority,The ESA says so,because,Earth-Luna is a binary planet,https://en.arguman.org/earth-luna-is-a-binary-planet
610,That's a catchphrase based on your belief. You need to provide specific examples and arguments to back that up. You can't just throw that vague nice-sounding phrase down as if that proves a point.,Appeal To Belief,He will Make America Great again.,because,Donald Trump is the president the U.S deserves,https://en.arguman.org/donald-trump-is-the-president-the-us-deserves
